Course Title,Course Description,Course curricullum
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"Master key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications","1
Improving Real World RAG System
Introduction to RAG Systems
Resources
RAG System Challenges Practical Solutions
Hands-on: Solution for Missing Content in RAG
Other Key Challenges
Practical Solutions
Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed
Wrong Format Problem Solution
Hands-on: Solution for Wrong Format
Incomplete Problem Solution
HyDE
Other Practical Solutions from recent Research Papers"
Framework to Choose the Right LLM for your Business,"This course provides a comprehensive framework for selecting the right LLM for your business. Learn to evaluate LLMs based on accuracy, cost, scalability, and more, while exploring real-world applications to make informed, strategic AI decisions.This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","1
Introduction
Introduction
2
It's an LLM World!
It's an LLM World!
3
Understand Your Business
Understand Your Business
4
Framework to Choose the Right LLM
Framework to Choose the Right LLM
5
Case Studies
Case Studies
6
Conclusion
Conclusion"
Building Smarter LLMs with Mamba and State Space Model,"Master Mamba's selective state space model for LLMs. Discover key components like the Mamba block, optimizing sequence modeling with efficient, scalable training and inference, surpassing traditional Transformers.Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures","1
Course Overview
Course Overview
2
An Alternative to Transformers
Are RNNs a Solution
The Problem with Transformers
3
Understanding State Space Models
What is a State Space Model?
The Discrete Representation
The Recurrent Representation
The Convolution Representation
The Three Representations
The Importance of the A Matrix
4
Mamba - A Selective State Space Model
What Problem does it attempt to Solve?
Selectively Retaining Information
Speeding Up Computations
Exploring the Mamba Block
Jamba - Mixing Mamba with Transformers"
Generative AI - A Way of Life - Free Course,"Embark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","Introduction to Generative AI
Fundamentals of Generative AI
What is Generative AI?
How does Generative AI work?
Exploring the Potential of Generative AI
GenAI Pinnacle Program
Hands On: Let’s get generating!
2
Text Generation Using Generative AI
An Overview of Text Generation
What is ChatGPT?
Working with ChatGPT
Working with ChatGPT Plus
Build a Custom GPT
Working with Microsoft Copilot
Working with Google Gemini
Gen AI Pinnacle Ad
Learning the Art of Prompting
Creating a Chatbot
Ethics and Best Practices
3
Image Generation Using Generative AI
Introduction to Image Generation
Exploring the Potential of Image Generation
Working with free image generation tools
Working with Clipdrop
Working with Bing Image Creator
Working with Firefly
Working with Paid Image Generative Tools
Working with paid image generative tools DreamStudio
Working with DALLE-2
Working with Midjourney
Gen AI Pinnacle Ad
Prompting your Way to Art
Accomplishing Tasks with Image Generation
E for Ethics and Efficiency"
Building LLM Applications using Prompt Engineering - Free Course,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting.This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.

Who Should Enroll:

Professionals: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.

Aspiring Students: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.","1
How to build diffferent LLM AppIications?
Introduction to Building Different LLM applications
Prompt Engineering
Retrieval Augmented Generation
Finetuning LLMs
Training LLMs from Scratch
Quiz
2
Getting Started with Prompt Engineering
Course handouts
Introduction to Prompt Engineering
Set up your machine for Prompt Engineering
Prompt Engineering with ChatGPT API
Enabling Conversation with ChatGPT API
Quiz
3
Understanding Different Prompt Engineering Techniques
Introduction to Understanding Different Prompt Engineering Techniques
Few Shot Prompting
One Shot Prompting
Zero Shot Prompting
Quiz
Assignment"
Building Your First Computer Vision Model - Free Course,"Embarking on a career in Computer Vision can be straightforward with the right guidance. This course provides an ideal pathway to master the complexities of image data analysis.This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.

Who Should Enroll:
Professionals: Individuals looking to expand their skill set and leverage CV across different industries.
Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world.","1
Introduction to Computer Vision
Pixel Perfect - Decoding Images
Understanding a CNN - Convolutional Layer
Hands on - Image Processing Techniques
Understanding a CNN - Striding and Pooling
Understanding a CNN - Pooling Layer
Understanding AlexNet and Building a CNN Model
Quiz"
Bagging and Boosting ML Algorithms - Free Course,This free course on Advanced ML Algorithms - Bagging and Boosting is perfect place to get a taste of how advanced ML algorithms look like and function on a real-world business problem.,"1
Bagging
Resources to be used in this course
Problem Statement
Understanding Ensemble Learning
Introducing Bagging Algorithms
Hands-on to Bagging Meta Estimator
Introduction to Random Forest
Understanding Out-Of-Bag Score
Random Forest VS Classical Bagging VS Decision Tree
Project
2
Boosting
Introduction to Boosting
AdaBoost Step-by-Step Explanation
Hands-on - AdaBoost
Gradient Boosting Machines (GBM)
Hands-on Gradient Boost
Other Algo (XGBoost, LightBoost. CatBoost)
Project: Anova Insurance"
MidJourney: From Inspiration to Implementation - Free Course,"Understand the fundamentals of the famous image generation tool - Midjourney in this free course. You will learn the various components of Midjourney and how to use it to bring your imaginations to real world.This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.



Who Should Enroll:

Creative Professionals: Individuals looking to enhance their creativity and apply MidJourney tools to various artistic and visual projects.

Aspiring Creatives: Those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of MidJourney and its alternatives.","1
MidJourney
MidJourney - Storm _ Story
MidJourney - Inspiration
MidJourney - How to use
MidJourney Alternatives
Quiz"
Understanding Linear Regression - Free Course,"Linear Regression is one of the foundational algorithms used in the industry to make predictions for regression problems. In this free course let us understand Linear Regression using a Business Case Study.This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression. 

Who Should Enroll:
Professionals: Individuals looking to expand their skill set and apply machine learning across different industries.
Aspiring Students: For those setting out on their journey to mastering machine learning and making a mark in the tech world.
Key Takeaways from the course
Learn Linear Regression technique and build real-world Machine Learning Models.

Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.","1
Linear Regression
Introduction to the Problem Statement
Resources for this Course
Introduction to Linear Regression
Significance of Slope and Intercept in the linear regression
How Model Decides The Best-Fit Line
Let’s Build a Simple Linear Regression Model
Model Understanding Using Descriptive Approach
Model Understanding Using Descriptive Approach - II
Model Building Using Predictive Approach
Quiz: Linear regression"
The Working of Neural Networks - Free Course,"Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.The Working of Neural Networks
This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.

Who Should Enroll:
Professionals: Individuals looking to expand their skill set and apply deep learning across different industries.
Aspiring Students: For those setting out on their journey to mastering deep learning and making a mark in the tech world.
Key Takeaways from the course
Utilize leading AI tools like ChatGPT, Microsoft Copilot, and DALL·E3 to create text and image content, enhancing your ability to innovate and streamline your creative processes.

Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.","1
Understanding the working of Neural Networks
How are Neural Networks trained - Forward Propagation
Understanding Loss Functions + Hands on
Reading: Creating a Custom Loss Function (Optional)
Optimization Techniques - Gradient Descent
What is Back Propagation?
Types of Gradient Descent
Common Optimization Techniques - Part 1
Common Optimization Techniques - Part 2
Building a Deep Neural Network (Hands-on Regression Model)
Building a Deep Neural Network (Hands-on Classification Model)
Quiz"
The A to Z of Unsupervised ML - Free Course,"Get ahead of the crowd with this free course on Unsupervised Machine Learning Models. We will be covering popular clustering algorithms and DBSCAN and show you its applications on a real-world business problem.Why Unsupervised Machine Learning?
Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.

Who Should Enroll:
Professionals: Individuals looking to expand their skill set and apply unsupervised learning across different industries.
Aspiring Students: For those setting out on their journey to mastering machine learning and making a mark in the tech world.","1
Understanding Unsupervised Machine Learning
Resources to be used in this course.
Setting the Context
Choosing Clustering Algorithms
Solving our Problem using k-means - Part 1
Solving our Problem using k-means - Part 2
Finding optimal K value
Analysis and Insights Based on the Plots
Introduction to Hierarchical Clustering Analysis (HCA)
Solving our Problem using Hierarchical Clustering
Introduction to DBSCAN Clustering
Solving our Problem using DBSCAN
Reading: Applications of Clustering in the Real World
Project"
Building Your first RAG System using LlamaIndex - Free Course,"Dive into the sea of Retrieval Augmented Generation with this free course that will help you build your first RAG model with the popular LlamaIndex.This course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.","1
Introduction to RAG systems
Welcome to this course
Why RAG
What is RAG system
Overview of RAG Framework
Quiz
Course handouts
2
Getting Started with LlamaIndex
Introduction to LlamaIndex
Components of LlamaIndex
Reading Material: How to get your API Key
How to get Open AI Keys - 2 min - Website go through
Build Your First RAG system using LlamaIndex
Quiz"
Data Preprocessing on a Real-World Problem Statement - Free Course,"Kickstarting your career in Data Science can be easy with the right guide. This free course will serve as the perfect path to help beginners navigate the complex terrain of Data Preprocessing and prepare any data for modelling.This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.


Who Should Enroll:

Professionals: Individuals looking to expand their skill set on data cleaning and preparation.

Aspiring Students: For those setting out on their journey to become a data scientist and making a mark in the tech world.","1
Preparing the Dataset for Machine Learning Model
Resources to be used in this course
Introduction to Problem Statement
Reading Material - Understanding the Data
ML-workflow
Tasks to be Performed
Combining Product Attribute Data with POS Data
Combining all the tables in the Dataframe
Understanding the Combined Data
Treating Missing Values - Part 1
Treating Missing Values Part - 2
Outlier Detection and Treatment
Preparing the Dataset for Supervised and Unsupervised Models
Generative AI for Data Analysis"
Exploring Stability.AI - Free Course,"Explore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPU environments, and master installation, setup, generation, and customization of SD.This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.



Who Should Enroll:

Professionals: Individuals aiming to enhance their skill set and apply Stability.AI tools/Stable Diffusion in various fields.

Aspiring Students: Those beginning their journey to mastering Generative AI tool deployment and customization, looking to make an impact in the evolving world of Generative AI","Course curriculum
1
Mastering stability.ai and its tools
Introduction to Stability
How to use Stability.AI tools
Review of Deployment Options for SD WebUI
Automatic1111 WebUI on RunPod GPU environment
SD WebUI Hands-On - Installation and Setup
SD WebUI Hands-On - Generation and Settings
Quiz"
Building a Text Classification Model with Natural Language Processing - Free Course,"Explore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications. Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects.Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.


Who Should Enroll:

Professionals: Expand your skill set with NLP for real-world applications in diverse industries. 

Aspiring Students: Master text data analysis and kickstart your career in AI and NLP.","1
Introduction to NLP
What is NLP
Common tasks in a NLP Project
NLP Libraries
Resources for the Course
Methods of Text Preprocessing - Part 1
Methods of Text Preprocessing - Part 2
Methods of Text Preprocessing - Part 3
Quiz
2
Building a basic classification model
Introduction to dataset and problem statement
Creating a Basic Review Classification Model
Understanding TF-IDF and its implementations
Understanding N-grams
Advanced Preprocessing Techniques
Building an basic ANN model
Limitations of ANN
Quiz"
